billing_account_id,customer_name,billing_account_status,segment
BA00001,Customer 00001,Active,SME
BA00002,Customer 00002,Active,Enterprise
BA00003,Customer 00003,Active,Consumer
BA00004,Customer 00004,Active,SME
BA00005,Customer 00005,Active,Consumer
BA00006,Customer 00006,Active,SME
BA00007,Customer 00007,Active,SME
BA00008,Customer 00008,Inactive,Enterprise
BA00009,Customer 00009,Active,Consumer
BA00010,Customer 00010,Inactive,Enterprise
BA00011,Customer 00011,Active,Consumer
BA00012,Customer 00012,Inactive,SME
BA00013,Customer 00013,Active,Enterprise
BA00014,Customer 00014,Active,Consumer
BA00015,Customer 00015,Active,SME
BA00016,Customer 00016,Active,Consumer
BA00017,Customer 00017,Active,SME
BA00018,Customer 00018,Active,Enterprise
BA00019,Customer 00019,Active,Enterprise
BA00020,Customer 00020,Active,SME
BA00021,Customer 00021,Active,SME
BA00022,Customer 00022,Active,Enterprise
BA00023,Customer 00023,Active,SME
BA00024,Customer 00024,Active,SME
BA00025,Customer 00025,Active,SME
BA00026,Customer 00026,Active,Enterprise
BA00027,Customer 00027,Active,SME
BA00028,Customer 00028,Active,Consumer
BA00029,Customer 00029,Active,SME
BA00030,Customer 00030,Active,Consumer
BA00031,Customer 00031,Active,SME
BA00032,Customer 00032,Active,SME
BA00033,Customer 00033,Inactive,SME
BA00034,Customer 00034,Active,Enterprise
BA00035,Customer 00035,Active,Consumer
BA00036,Customer 00036,Active,SME
BA00037,Customer 00037,Inactive,SME
BA00038,Customer 00038,Active,Enterprise
BA00039,Customer 00039,Active,SME
BA00040,Customer 00040,Active,SME
BA00041,Customer 00041,Active,Enterprise
BA00042,Customer 00042,Active,SME
BA00043,Customer 00043,Inactive,SME
BA00044,Customer 00044,Inactive,Enterprise
BA00045,Customer 00045,Inactive,Enterprise
BA00046,Customer 00046,Active,Consumer
BA00047,Customer 00047,Active,Enterprise
BA00048,Customer 00048,Active,SME
BA00049,Customer 00049,Inactive,Enterprise
BA00050,Customer 00050,Active,Enterprise
BA00051,Customer 00051,Active,Consumer
BA00052,Customer 00052,Active,Enterprise
BA00053,Customer 00053,Active,SME
BA00054,Customer 00054,Active,Consumer
BA00055,Customer 00055,Active,Enterprise
BA00056,Customer 00056,Active,Consumer
BA00057,Customer 00057,Active,SME
BA00058,Customer 00058,Active,Consumer
BA00059,Customer 00059,Active,SME
BA00060,Customer 00060,Active,SME
BA00061,Customer 00061,Active,SME
BA00062,Customer 00062,Active,SME
BA00063,Customer 00063,Active,SME
BA00064,Customer 00064,Inactive,SME
BA00065,Customer 00065,Active,SME
BA00066,Customer 00066,Active,Consumer
BA00067,Customer 00067,Active,Enterprise
BA00068,Customer 00068,Active,SME
BA00069,Customer 00069,Active,Consumer
BA00070,Customer 00070,Active,Consumer
BA00071,Customer 00071,Active,SME
BA00072,Customer 00072,Active,SME
BA00073,Customer 00073,Active,SME
BA00074,Customer 00074,Active,SME
BA00075,Customer 00075,Inactive,Enterprise
BA00076,Customer 00076,Active,SME
BA00077,Customer 00077,Active,Enterprise
BA00078,Customer 00078,Active,Consumer
BA00079,Customer 00079,Active,Consumer
BA00080,Customer 00080,Active,Consumer
BA00081,Customer 00081,Active,Enterprise
BA00082,Customer 00082,Active,SME
BA00083,Customer 00083,Active,Enterprise
BA00084,Customer 00084,Active,Enterprise
BA00085,Customer 00085,Inactive,Consumer
BA00086,Customer 00086,Active,Enterprise
BA00087,Customer 00087,Active,Consumer
BA00088,Customer 00088,Active,SME
BA00089,Customer 00089,Active,SME
BA00090,Customer 00090,Active,Enterprise
BA00091,Customer 00091,Inactive,Consumer
BA00092,Customer 00092,Active,Enterprise
BA00093,Customer 00093,Inactive,Consumer
BA00094,Customer 00094,Active,Consumer
BA00095,Customer 00095,Active,SME
BA00096,Customer 00096,Active,Enterprise
BA00097,Customer 00097,Active,Enterprise
BA00098,Customer 00098,Inactive,Enterprise
BA00099,Customer 00099,Active,SME
BA00100,Customer 00100,Inactive,Enterprise
BA00101,Customer 00101,Active,SME
BA00102,Customer 00102,Active,Enterprise
BA00103,Customer 00103,Inactive,Enterprise
BA00104,Customer 00104,Active,Consumer
BA00105,Customer 00105,Active,SME
BA00106,Customer 00106,Active,Consumer
BA00107,Customer 00107,Active,Enterprise
BA00108,Customer 00108,Inactive,SME
BA00109,Customer 00109,Active,SME
BA00110,Customer 00110,Active,SME
BA00111,Customer 00111,Active,Consumer
BA00112,Customer 00112,Active,SME
BA00113,Customer 00113,Active,Enterprise
BA00114,Customer 00114,Active,SME
BA00115,Customer 00115,Active,SME
BA00116,Customer 00116,Active,SME
BA00117,Customer 00117,Inactive,Enterprise
BA00118,Customer 00118,Active,Enterprise
BA00119,Customer 00119,Active,SME
BA00120,Customer 00120,Active,SME
BA00121,Customer 00121,Active,SME
BA00122,Customer 00122,Active,Enterprise
BA00123,Customer 00123,Active,Consumer
BA00124,Customer 00124,Active,SME
BA00125,Customer 00125,Active,SME
BA00126,Customer 00126,Active,Consumer
BA00127,Customer 00127,Active,SME
BA00128,Customer 00128,Inactive,Enterprise
BA00129,Customer 00129,Active,Enterprise
BA00130,Customer 00130,Active,SME
