billing_product_id,attribute_name,attribute_value
BP00001,Asset ID,ORPHAN_AS00001
BP00001,Access Line ID,AL000001
BP00001,Circuit ID,CIR000001
BP00002,Asset ID,SAS00002
BP00002,Access Line ID,AL000002
BP00002,Circuit ID,CIR000002
BP00003,Asset ID,SAS00003
BP00003,Access Line ID,AL000003
BP00003,Circuit ID,CIR000003
BP00004,Asset ID,SAS00004
BP00004,Access Line ID,AL000004
BP00004,Circuit ID,CIR000004
BP00005,Asset ID,SAS00005
BP00005,Access Line ID,AL000005
BP00005,Circuit ID,CIR000005
BP00006,Asset ID,SAS00006
BP00006,Access Line ID,AL000006
BP00006,Circuit ID,CIR000006
BP00007,Asset ID,SAS00007
BP00007,Access Line ID,AL000007
BP00007,Circuit ID,CIR000007
BP00008,Asset ID,SAS00008
BP00008,Access Line ID,AL000008
BP00008,Circuit ID,CIR000008
BP00009,Asset ID,SAS00009
BP00009,Access Line ID,AL000009
BP00009,Circuit ID,CIR000009
BP00010,Asset ID,SAS00010
BP00010,Access Line ID,AL000010
BP00010,Circuit ID,CIR000010
BP00011,Asset ID,SAS00011
BP00011,Access Line ID,AL000011
BP00011,Circuit ID,CIR000011
BP00012,Asset ID,SAS00012
BP00012,Access Line ID,AL000012
BP00012,Circuit ID,CIR000012
BP00013,Asset ID,SAS00013
BP00013,Access Line ID,AL000013
BP00013,Circuit ID,CIR000013
BP00014,Asset ID,SAS00014
BP00014,Access Line ID,AL000014
BP00014,Circuit ID,CIR000014
BP00015,Asset ID,SAS00015
BP00015,Access Line ID,AL000015
BP00015,Circuit ID,CIR000015
BP00016,Asset ID,SAS00016
BP00016,Access Line ID,AL000016
BP00016,Circuit ID,CIR000016
BP00017,Asset ID,SAS00017
BP00017,Access Line ID,AL000017
BP00017,Circuit ID,CIR000017
BP00018,Asset ID,SAS00018
BP00018,Access Line ID,AL000018
BP00018,Circuit ID,CIR000018
BP00019,Asset ID,SAS00019
BP00019,Access Line ID,AL000019
BP00019,Circuit ID,CIR000019
BP00020,Asset ID,SAS00020
BP00020,Access Line ID,AL000020
BP00020,Circuit ID,CIR000020
BP00021,Asset ID,SAS00021
BP00021,Access Line ID,AL000021
BP00021,Circuit ID,CIR000021
BP00022,Asset ID,SAS00022
BP00022,Access Line ID,AL000022
BP00022,Circuit ID,CIR000022
BP00023,Asset ID,SAS00023
BP00023,Access Line ID,AL000023
BP00023,Circuit ID,CIR000023
BP00024,Asset ID,SAS00024
BP00024,Access Line ID,AL000024
BP00024,Circuit ID,CIR000024
BP00025,Asset ID,SAS00025
BP00025,Access Line ID,AL000025
BP00025,Circuit ID,CIR000025
BP00026,Asset ID,SAS00026
BP00026,Access Line ID,AL000026
BP00026,Circuit ID,CIR000026
BP00027,Asset ID,SAS00027
BP00027,Access Line ID,AL000027
BP00027,Circuit ID,CIR000027
BP00028,Asset ID,SAS00028
BP00028,Access Line ID,AL000028
BP00028,Circuit ID,CIR000028
BP00029,Asset ID,SAS00029
BP00029,Access Line ID,AL000029
BP00029,Circuit ID,CIR000029
BP00030,Asset ID,ORPHAN_AS00030
BP00030,Access Line ID,AL000030
BP00030,Circuit ID,CIR000030
BP00031,Asset ID,SAS00031
BP00031,Access Line ID,AL000031
BP00031,Circuit ID,CIR000031
BP00032,Asset ID,SAS00032
BP00032,Access Line ID,AL000032
BP00032,Circuit ID,CIR000032
BP00033,Asset ID,SAS00033
BP00033,Access Line ID,AL000033
BP00033,Circuit ID,CIR000033
BP00034,Asset ID,SAS00034
BP00034,Access Line ID,AL000034
BP00034,Circuit ID,CIR000034
BP00035,Asset ID,SAS00035
BP00035,Access Line ID,AL000035
BP00035,Circuit ID,CIR000035
BP00036,Asset ID,SAS00036
BP00036,Access Line ID,AL000036
BP00036,Circuit ID,CIR000036
BP00037,Asset ID,SAS00037
BP00037,Access Line ID,AL000037
BP00037,Circuit ID,CIR000037
BP00038,Asset ID,ORPHAN_AS00038
BP00038,Access Line ID,AL000038
BP00038,Circuit ID,CIR000038
BP00039,Asset ID,SAS00039
BP00039,Access Line ID,AL000039
BP00039,Circuit ID,CIR000039
BP00040,Asset ID,SAS00040
BP00040,Access Line ID,AL000040
BP00040,Circuit ID,CIR000040
BP00041,Asset ID,SAS00041
BP00041,Access Line ID,AL000041
BP00041,Circuit ID,CIR000041
BP00042,Asset ID,SAS00042
BP00042,Access Line ID,AL000042
BP00042,Circuit ID,CIR000042
BP00043,Asset ID,SAS00043
BP00043,Access Line ID,AL000043
BP00043,Circuit ID,CIR000043
BP00044,Asset ID,SAS00044
BP00044,Access Line ID,AL000044
BP00044,Circuit ID,CIR000044
BP00045,Asset ID,SAS00045
BP00045,Access Line ID,ALX000045
BP00045,Circuit ID,CIR000045
BP00046,Asset ID,SAS00046
BP00046,Access Line ID,AL000046
BP00046,Circuit ID,CIR000046
BP00047,Asset ID,SAS00047
BP00047,Access Line ID,AL000047
BP00047,Circuit ID,CIR000047
BP00048,Asset ID,SAS00048
BP00048,Access Line ID,AL000048
BP00048,Circuit ID,CIR000048
BP00049,Asset ID,ORPHAN_AS00049
BP00049,Access Line ID,AL000049
BP00049,Circuit ID,CIR000049
BP00050,Asset ID,SAS00050
BP00050,Access Line ID,AL000050
BP00050,Circuit ID,CIR000050
BP00051,Asset ID,SAS00051
BP00051,Access Line ID,AL000051
BP00051,Circuit ID,CIR000051
BP00052,Asset ID,SAS00052
BP00052,Access Line ID,AL000052
BP00052,Circuit ID,CIR000052
BP00053,Asset ID,SAS00053
BP00053,Access Line ID,AL000053
BP00053,Circuit ID,CIR000053
BP00054,Asset ID,SAS00054
BP00054,Access Line ID,AL000054
BP00054,Circuit ID,CIR000054
BP00055,Asset ID,SAS00055
BP00055,Access Line ID,AL000055
BP00055,Circuit ID,CIR000055
BP00056,Asset ID,SAS00056
BP00056,Access Line ID,AL000056
BP00056,Circuit ID,CIR000056
BP00057,Asset ID,SAS00057
BP00057,Access Line ID,AL000057
BP00057,Circuit ID,CIR000057
BP00058,Asset ID,SAS00058
BP00058,Access Line ID,AL000058
BP00058,Circuit ID,CIR000058
BP00059,Asset ID,ORPHAN_AS00059
BP00059,Access Line ID,AL000059
BP00059,Circuit ID,CIR000059
BP00060,Asset ID,SAS00060
BP00060,Access Line ID,AL000060
BP00060,Circuit ID,CIR000060
BP00061,Asset ID,SAS00061
BP00061,Access Line ID,AL000061
BP00061,Circuit ID,CIR000061
BP00062,Asset ID,SAS00062
BP00062,Access Line ID,AL000062
BP00062,Circuit ID,CIR000062
BP00063,Asset ID,SAS00063
BP00063,Access Line ID,AL000063
BP00063,Circuit ID,CIR000063
BP00064,Asset ID,ORPHAN_AS00064
BP00064,Access Line ID,ALX000064
BP00064,Circuit ID,CIR000064
BP00065,Asset ID,SAS00065
BP00065,Access Line ID,ALX000065
BP00065,Circuit ID,CIR000065
BP00066,Asset ID,SAS00066
BP00066,Access Line ID,AL000066
BP00066,Circuit ID,CIR000066
BP00067,Asset ID,SAS00067
BP00067,Access Line ID,AL000067
BP00067,Circuit ID,CIR000067
BP00068,Asset ID,SAS00068
BP00068,Access Line ID,AL000068
BP00068,Circuit ID,CIR000068
BP00069,Asset ID,SAS00069
BP00069,Access Line ID,AL000069
BP00069,Circuit ID,CIR000069
BP00070,Asset ID,SAS00070
BP00070,Access Line ID,ALX000070
BP00070,Circuit ID,CIR000070
BP00071,Asset ID,SAS00071
BP00071,Access Line ID,AL000071
BP00071,Circuit ID,CIR000071
BP00072,Asset ID,SAS00072
BP00072,Access Line ID,AL000072
BP00072,Circuit ID,CIR000072
BP00073,Asset ID,ORPHAN_AS00073
BP00073,Access Line ID,AL000073
BP00073,Circuit ID,CIR000073
BP00074,Asset ID,SAS00074
BP00074,Access Line ID,AL000074
BP00074,Circuit ID,CIR000074
BP00075,Asset ID,SAS00075
BP00075,Access Line ID,AL000075
BP00075,Circuit ID,CIR000075
BP00076,Asset ID,SAS00076
BP00076,Access Line ID,AL000076
BP00076,Circuit ID,CIR000076
BP00077,Asset ID,SAS00077
BP00077,Access Line ID,AL000077
BP00077,Circuit ID,CIR000077
BP00078,Asset ID,SAS00078
BP00078,Access Line ID,AL000078
BP00078,Circuit ID,CIR000078
BP00079,Asset ID,SAS00079
BP00079,Access Line ID,AL000079
BP00079,Circuit ID,CIR000079
BP00080,Asset ID,SAS00080
BP00080,Access Line ID,AL000080
BP00080,Circuit ID,CIR000080
BP00081,Asset ID,SAS00081
BP00081,Access Line ID,AL000081
BP00081,Circuit ID,CIR000081
BP00082,Asset ID,SAS00082
BP00082,Access Line ID,AL000082
BP00082,Circuit ID,CIR000082
BP00083,Asset ID,SAS00083
BP00083,Access Line ID,AL000083
BP00083,Circuit ID,CIR000083
BP00084,Asset ID,SAS00084
BP00084,Access Line ID,AL000084
BP00084,Circuit ID,CIR000084
BP00085,Asset ID,SAS00085
BP00085,Access Line ID,AL000085
BP00085,Circuit ID,CIR000085
BP00086,Asset ID,SAS00086
BP00086,Access Line ID,AL000086
BP00086,Circuit ID,CIR000086
BP00087,Asset ID,SAS00087
BP00087,Access Line ID,AL000087
BP00087,Circuit ID,CIR000087
BP00088,Asset ID,SAS00088
BP00088,Access Line ID,AL000088
BP00088,Circuit ID,CIR000088
BP00089,Asset ID,SAS00089
BP00089,Access Line ID,AL000089
BP00089,Circuit ID,CIR000089
BP00090,Asset ID,SAS00090
BP00090,Access Line ID,AL000090
BP00090,Circuit ID,CIR000090
BP00091,Asset ID,SAS00091
BP00091,Access Line ID,AL000091
BP00091,Circuit ID,CIR000091
BP00092,Asset ID,SAS00092
BP00092,Access Line ID,AL000092
BP00092,Circuit ID,CIR000092
BP00093,Asset ID,SAS00093
BP00093,Access Line ID,AL000093
BP00093,Circuit ID,CIR000093
BP00094,Asset ID,SAS00094
BP00094,Access Line ID,AL000094
BP00094,Circuit ID,CIR000094
BP00095,Asset ID,SAS00095
BP00095,Access Line ID,AL000095
BP00095,Circuit ID,CIR000095
BP00096,Asset ID,SAS00096
BP00096,Access Line ID,AL000096
BP00096,Circuit ID,CIR000096
BP00097,Asset ID,SAS00097
BP00097,Access Line ID,AL000097
BP00097,Circuit ID,CIR000097
BP00098,Asset ID,SAS00098
BP00098,Access Line ID,AL000098
BP00098,Circuit ID,CIR000098
BP00099,Asset ID,ORPHAN_AS00099
BP00099,Access Line ID,AL000099
BP00099,Circuit ID,CIR000099
BP00100,Asset ID,SAS00100
BP00100,Access Line ID,AL000100
BP00100,Circuit ID,CIR000100
BP00101,Asset ID,SAS00101
BP00101,Access Line ID,AL000101
BP00101,Circuit ID,CIR000101
BP00102,Asset ID,SAS00102
BP00102,Access Line ID,ALX000102
BP00102,Circuit ID,CIR000102
BP00103,Asset ID,SAS00103
BP00103,Access Line ID,AL000103
BP00103,Circuit ID,CIR000103
BP00104,Asset ID,SAS00104
BP00104,Access Line ID,AL000104
BP00104,Circuit ID,CIR000104
BP00105,Asset ID,ORPHAN_AS00105
BP00105,Access Line ID,AL000105
BP00105,Circuit ID,CIR000105
BP00106,Asset ID,SAS00106
BP00106,Access Line ID,AL000106
BP00106,Circuit ID,CIR000106
BP00107,Asset ID,SAS00107
BP00107,Access Line ID,AL000107
BP00107,Circuit ID,CIR000107
BP00108,Asset ID,SAS00108
BP00108,Access Line ID,AL000108
BP00108,Circuit ID,CIR000108
BP00109,Asset ID,SAS00109
BP00109,Access Line ID,AL000109
BP00109,Circuit ID,CIR000109
BP00110,Asset ID,ORPHAN_AS00110
BP00110,Access Line ID,AL000110
BP00110,Circuit ID,CIR000110
BP00111,Asset ID,SAS00111
BP00111,Access Line ID,AL000111
BP00111,Circuit ID,CIR000111
BP00112,Asset ID,SAS00112
BP00112,Access Line ID,AL000112
BP00112,Circuit ID,CIR000112
BP00113,Asset ID,SAS00113
BP00113,Access Line ID,AL000113
BP00113,Circuit ID,CIR000113
BP00114,Asset ID,SAS00114
BP00114,Access Line ID,AL000114
BP00114,Circuit ID,CIR000114
BP00115,Asset ID,SAS00115
BP00115,Access Line ID,AL000115
BP00115,Circuit ID,CIR000115
BP00116,Asset ID,SAS00116
BP00116,Access Line ID,AL000116
BP00116,Circuit ID,CIR000116
BP00117,Asset ID,SAS00117
BP00117,Access Line ID,AL000117
BP00117,Circuit ID,CIR000117
BP00118,Asset ID,ORPHAN_AS00118
BP00118,Access Line ID,AL000118
BP00118,Circuit ID,CIR000118
BP00119,Asset ID,SAS00119
BP00119,Access Line ID,AL000119
BP00119,Circuit ID,CIR000119
BP00120,Asset ID,SAS00120
BP00120,Access Line ID,AL000120
BP00120,Circuit ID,CIR000120
BP00121,Asset ID,SAS00121
BP00121,Access Line ID,AL000121
BP00121,Circuit ID,CIR000121
BP00122,Asset ID,SAS00122
BP00122,Access Line ID,AL000122
BP00122,Circuit ID,CIR000122
BP00123,Asset ID,ORPHAN_AS00123
BP00123,Access Line ID,AL000123
BP00123,Circuit ID,CIR000123
BP00124,Asset ID,SAS00124
BP00124,Access Line ID,AL000124
BP00124,Circuit ID,CIR000124
BP00125,Asset ID,SAS00125
BP00125,Access Line ID,AL000125
BP00125,Circuit ID,CIR000125
BP00126,Asset ID,SAS00126
BP00126,Access Line ID,AL000126
BP00126,Circuit ID,CIR000126
BP00127,Asset ID,SAS00127
BP00127,Access Line ID,AL000127
BP00127,Circuit ID,CIR000127
BP00128,Asset ID,ORPHAN_AS00128
BP00128,Access Line ID,AL000128
BP00128,Circuit ID,CIR000128
BP00129,Asset ID,SAS00129
BP00129,Access Line ID,AL000129
BP00129,Circuit ID,CIR000129
BP00130,Asset ID,SAS00130
BP00130,Access Line ID,AL000130
BP00130,Circuit ID,CIR000130
BP00131,Asset ID,SAS00131
BP00131,Access Line ID,AL000131
BP00131,Circuit ID,CIR000131
BP00132,Asset ID,SAS00132
BP00132,Access Line ID,AL000132
BP00132,Circuit ID,CIR000132
BP00133,Asset ID,SAS00133
BP00133,Access Line ID,AL000133
BP00133,Circuit ID,CIR000133
BP00134,Asset ID,SAS00134
BP00134,Access Line ID,AL000134
