billing_product_id,billing_account_id,product_instance_id,standard_product_code,billing_product_code,billing_product_name,product_family,billing_status,monthly_charge
BP00001,BA00549,ORPHAN_AS00001,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,108.05
BP00002,BA00817,SAS00002,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,202.8
BP00003,BA00228,SAS00003,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,20.13
BP00004,BA00836,SAS00004,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,212.23
BP00005,BA00616,SAS00005,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,191.32
BP00006,BA00036,SAS00006,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,89.66
BP00007,BA00869,SAS00007,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,128.96
BP00008,BA00722,SAS00008,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,31.64
BP00009,BA00734,SAS00009,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,187.98
BP00010,BA00054,SAS00010,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Ceased,198.04
BP00011,BA00307,SAS00011,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Ceased,170.95
BP00012,BA00562,SAS00012,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,116.01
BP00013,BA00401,SAS00013,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,140.46
BP00014,BA00200,SAS00014,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,145.14
BP00015,BA00811,SAS00015,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,204.78
BP00016,BA00469,SAS00016,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,151.9
BP00017,BA00919,SAS00017,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,68.61
BP00018,BA00010,SAS00018,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,216.62
BP00019,BA00880,SAS00019,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,238.49
BP00020,BA00949,SAS00020,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,100.5
BP00021,BA00121,SAS00021,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Ceased,168.82
BP00022,BA00643,SAS00022,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Inactive,74.84
BP00023,BA00310,SAS00023,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,239.46
BP00024,BA00709,SAS00024,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Ceased,173.61
BP00025,BA00838,SAS00025,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,81.85
BP00026,BA00123,SAS00026,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,46.32
BP00027,BA00231,SAS00027,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,150.93
BP00028,BA00764,SAS00028,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,155.55
BP00029,BA00720,SAS00029,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,150.57
BP00030,BA00931,ORPHAN_AS00030,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Suspended,142.7
BP00031,BA00404,SAS00031,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,142.45
BP00032,BA00532,SAS00032,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,143.04
BP00033,BA00772,SAS00033,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Inactive,242.04
BP00034,BA00614,SAS00034,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,19.24
BP00035,BA00041,SAS00035,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,65.85
BP00036,BA00872,SAS00036,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Inactive,37.63
BP00037,BA00990,SAS00037,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,116.15
BP00038,BA00308,ORPHAN_AS00038,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,237.42
BP00039,BA00547,SAS00039,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,151.88
BP00040,BA00361,SAS00040,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,136.46
BP00041,BA00046,SAS00041,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,61.63
BP00042,BA00981,SAS00042,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,146.08
BP00043,BA00747,SAS00043,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,35.25
BP00044,BA00926,SAS00044,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,123.81
BP00045,BA00963,SAS00045,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,142.33
BP00046,BA00649,SAS00046,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,62.69
BP00047,BA00841,SAS00047,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,56.06
BP00048,BA00807,SAS00048,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,24.01
BP00049,BA00128,ORPHAN_AS00049,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,176.68
BP00050,BA00092,SAS00050,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,95.38
BP00051,BA00232,SAS00051,STD_BB_FTTP,ABB_FTTP,Antillia Broadband FTTP,Broadband,Active,40.72
BP00052,BA00975,SAS00052,STD_PSTN_LINE,APSTN_LINE,Antillia PSTN Line,Voice,Active,232.75
BP00053,BA00314,SAS00053,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,205.18
BP00054,BA00586,SAS00054,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Suspended,145.96
BP00055,BA00175,SAS00055,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Active,192.43
BP00056,BA00695,SAS00056,STD_BB_FTTC,ABB_FTTC,Antillia Broadband FTTC,Broadband,Ceased,141.35
