css_bill_id,css_customer_id,css_service_id,standard_product_code,css_product_code,css_product_name,product_family,billing_status,monthly_charge
CSSB00001,CSSC00216,SAS00001,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,97.19
CSSB00002,CSSC00458,CSSS00002,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Suspended,93.43
CSSB00003,CSSC00421,SAS00003,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,64.76
CSSB00004,CSSC00651,CSSS00004,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,217.08
CSSB00005,CSSC00679,SAS00005,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,76.49
CSSB00006,CSSC00444,SAS00006,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,139.63
CSSB00007,CSSC00209,SAS00007,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,59.08
CSSB00008,CSSC00788,CSSS00008,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,123.43
CSSB00009,CSSC00311,SAS00009,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Suspended,241.53
CSSB00010,CSSC00277,SAS00010,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,72.39
CSSB00011,CSSC00498,SAS00011,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,51.57
CSSB00012,CSSC00275,SAS00012,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,170.72
CSSB00013,CSSC00819,SAS00013,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,223.28
CSSB00014,CSSC00248,SAS00014,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,173.08
CSSB00015,CSSC00570,SAS00015,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Ceased,163.58
CSSB00016,CSSC00542,CSSS00016,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,196.57
CSSB00017,CSSC00430,SAS00017,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,187.97
CSSB00018,CSSC00739,SAS00018,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,163.89
CSSB00019,CSSC00686,SAS00019,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,127.47
CSSB00020,CSSC00201,SAS00020,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,194.07
CSSB00021,CSSC00546,SAS00021,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,41.94
CSSB00022,CSSC00918,CSSS00022,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,113.67
CSSB00023,CSSC00757,CSSS00023,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,69.21
CSSB00024,CSSC00220,SAS00024,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,154.3
