css_customer_id,customer_name,customer_status,segment
CSSC00001,Customer 00001,Active,Enterprise
CSSC00002,Customer 00002,Active,Enterprise
CSSC00003,Customer 00003,Active,SME
CSSC00004,Customer 00004,Active,SME
CSSC00005,Customer 00005,Active,Consumer
CSSC00006,Customer 00006,Active,SME
CSSC00007,Customer 00007,Active,SME
CSSC00008,Customer 00008,Active,Enterprise
CSSC00009,Customer 00009,Active,SME
CSSC00010,Customer 00010,Active,SME
CSSC00011,Customer 00011,Active,SME
CSSC00012,Customer 00012,Active,Enterprise
CSSC00013,Customer 00013,Active,SME
CSSC00014,Customer 00014,Active,SME
CSSC00015,Customer 00015,Inactive,Consumer
CSSC00016,Customer 00016,Active,SME
CSSC00017,Customer 00017,Active,Consumer
CSSC00018,Customer 00018,Active,Consumer
CSSC00019,Customer 00019,Active,Consumer
CSSC00020,Customer 00020,Active,Consumer
CSSC00021,Customer 00021,Active,Consumer
CSSC00022,Customer 00022,Active,Consumer
CSSC00023,Customer 00023,Active,Consumer
CSSC00024,Customer 00024,Active,Consumer
CSSC00025,Customer 00025,Active,SME
CSSC00026,Customer 00026,Active,Enterprise
CSSC00027,Customer 00027,Active,Enterprise
CSSC00028,Customer 00028,Active,SME
CSSC00029,Customer 00029,Active,SME
CSSC00030,Customer 00030,Active,Consumer
CSSC00031,Customer 00031,Active,Consumer
CSSC00032,Customer 00032,Active,Consumer
CSSC00033,Customer 00033,Inactive,Consumer
CSSC00034,Customer 00034,Active,Enterprise
CSSC00035,Customer 00035,Inactive,Consumer
CSSC00036,Customer 00036,Active,Enterprise
CSSC00037,Customer 00037,Active,Consumer
CSSC00038,Customer 00038,Active,SME
CSSC00039,Customer 00039,Active,Enterprise
CSSC00040,Customer 00040,Active,Consumer
CSSC00041,Customer 00041,Active,SME
CSSC00042,Customer 00042,Active,Consumer
CSSC00043,Customer 00043,Active,Enterprise
CSSC00044,Customer 00044,Active,Consumer
CSSC00045,Customer 00045,Active,Enterprise
CSSC00046,Customer 00046,Active,Consumer
CSSC00047,Customer 00047,Inactive,SME
CSSC00048,Customer 00048,Active,Enterprise
CSSC00049,Customer 00049,Active,Consumer
CSSC00050,Customer 00050,Active,Enterprise
CSSC00051,Customer 00051,Active,Consumer
CSSC00052,Customer 00052,Active,SME
CSSC00053,Customer 00053,Active,Consumer
CSSC00054,Customer 00054,Active,Enterprise
CSSC00055,Customer 00055,Active,SME
CSSC00056,Customer 00056,Active,Enterprise
CSSC00057,Customer 00057,Active,Consumer
CSSC00058,Customer 00058,Active,SME
CSSC00059,Customer 00059,Active,Enterprise
CSSC00060,Customer 00060,Active,Enterprise
CSSC00061,Customer 00061,Active,Consumer
CSSC00062,Customer 00062,Active,Consumer
CSSC00063,Customer 00063,Active,Enterprise
CSSC00064,Customer 00064,Active,SME
CSSC00065,Customer 00065,Active,Enterprise
CSSC00066,Customer 00066,Active,Enterprise
CSSC00067,Customer 00067,Active,SME
CSSC00068,Customer 00068,Active,SME
CSSC00069,Customer 00069,Active,Enterprise
CSSC00070,Customer 00070,Active,Consumer
CSSC00071,Customer 00071,Active,Enterprise
CSSC00072,Customer 00072,Active,SME
CSSC00073,Customer 00073,Active,SME
CSSC00074,Customer 00074,Active,SME
CSSC00075,Customer 00075,Active,SME
CSSC00076,Customer 00076,Active,Enterprise
CSSC00077,Customer 00077,Active,Enterprise
CSSC00078,Customer 00078,Active,Enterprise
CSSC00079,Customer 00079,Active,SME
CSSC00080,Customer 00080,Active,SME
CSSC00081,Customer 00081,Inactive,SME
CSSC00082,Customer 00082,Active,SME
CSSC00083,Customer 00083,Active,Consumer
CSSC00084,Customer 00084,Active,SME
CSSC00085,Customer 00085,Active,Consumer
CSSC00086,Customer 00086,Active,SME
CSSC00087,Customer 00087,Active,Enterprise
CSSC00088,Customer 00088,Active,SME
CSSC00089,Customer 00089,Active,Enterprise
CSSC00090,Customer 00090,Inactive,Consumer
CSSC00091,Customer 00091,Active,Consumer
CSSC00092,Customer 00092,Active,Consumer
CSSC00093,Customer 00093,Active,Consumer
CSSC00094,Customer 00094,Active,Consumer
CSSC00095,Customer 00095,Active,SME
CSSC00096,Customer 00096,Active,Enterprise
CSSC00097,Customer 00097,Active,Consumer
CSSC00098,Customer 00098,Active,Enterprise
CSSC00099,Customer 00099,Active,SME
CSSC00100,Customer 00100,Inactive,Consumer
CSSC00101,Customer 00101,Active,Enterprise
CSSC00102,Customer 00102,Active,Consumer
CSSC00103,Customer 00103,Active,SME
CSSC00104,Customer 00104,Active,Enterprise
CSSC00105,Customer 00105,Active,Consumer
CSSC00106,Customer 00106,Active,SME
CSSC00107,Customer 00107,Active,SME
CSSC00108,Customer 00108,Active,SME
CSSC00109,Customer 00109,Active,SME
CSSC00110,Customer 00110,Active,Enterprise
CSSC00111,Customer 00111,Active,Enterprise
CSSC00112,Customer 00112,Active,Consumer
CSSC00113,Customer 00113,Active,SME
CSSC00114,Customer 00114,Active,Enterprise
CSSC00115,Customer 00115,Active,SME
CSSC00116,Customer 00116,Active,SME
CSSC00117,Customer 00117,Active,SME
CSSC00118,Customer 00118,Active,Consumer
CSSC00119,Customer 00119,Active,SME
CSSC00120,Customer 00120,Active,SME
CSSC00121,Customer 00121,Active,SME
CSSC00122,Customer 00122,Active,Enterprise
CSSC00123,Customer 00123,Active,SME
CSSC00124,Customer 00124,Active,Consumer
CSSC00125,Customer 00125,Inactive,Enterprise
CSSC00126,Customer 00126,Active,Consumer
CSSC00127,Customer 00127,Active,Enterprise
CSSC00128,Customer 00128,Active,Consumer
CSSC00129,Customer 00129,Active,SME
CSSC00130,Customer 00130,Active,SME
CSSC00131,Customer 00131,Active,Consumer
CSSC00132,Customer 00132,Active,Consumer
CSSC00133,Customer 00133,Active,Consumer
CSSC00134,Customer 00134,Active,SME
CSSC00135,Customer 00135,Active,Enterprise
CSSC00136,Customer 00136,Active,SME
CSSC00137,Customer 00137,Active,Consumer
CSSC00138,Customer 00138,Active,SME
CSSC00139,Customer 00139,Active,SME
CSSC00140,Customer 00140,Active,Consumer
CSSC00141,Customer 00141,Active,Consumer
CSSC00142,Customer 00142,Active,SME
CSSC00143,Customer 00143,Active,Enterprise
CSSC00144,Customer 00144,Active,Consumer
CSSC00145,Customer 00145,Active,SME
CSSC00146,Customer 00146,Active,SME
CSSC00147,Customer 00147,Active,Enterprise
CSSC00148,Customer 00148,Active,Enterprise
CSSC00149,Customer 00149,Active,Enterprise
CSSC00150,Customer 00150,Active,SME
CSSC00151,Customer 00151,Active,Enterprise
CSSC00152,Customer 00152,Active,Enterprise
CSSC00153,Customer 00153,Active,SME
CSSC00154,Customer 00154,Active,SME
CSSC00155,Customer 00155,Active,Consumer
CSSC00156,Customer 00156,Active,Consumer
CSSC00157,Customer 00157,Active,Consumer
CSSC00158,Customer 00158,Active,Enterprise
CSSC00159,Customer 00159,Active,Consumer
CSSC00160,Customer 00160,Active,Consumer
CSSC00161,Customer 00161,Active,SME
CSSC00162,Customer 00162,Active,Enterprise
CSSC00163,Customer 00163,Active,SME
CSSC00164,Customer 00164,Active,SME
CSSC00165,Customer 00165,Active,Consumer
CSSC00166,Customer 00166,Active,SME
CSSC00167,Customer 00167,Active,Enterprise
