css_service_id,attribute_name,attribute_value
SAS00001,Asset ID,SAS00001
SAS00001,Access Line ID,AL000001
SAS00001,Circuit ID,CIR000001
SAS00001,Technology Type,FTTP
CSSS00002,Asset ID,SAS00002
CSSS00002,Access Line ID,AL000002
CSSS00002,Circuit ID,CIR000002
CSSS00002,Technology Type,FTTP
SAS00003,Asset ID,SAS00003
SAS00003,Access Line ID,AL000003
SAS00003,Circuit ID,CIR000003
SAS00003,Technology Type,FTTC
CSSS00004,Asset ID,SAS00004
CSSS00004,Access Line ID,AL000004
CSSS00004,Circuit ID,CIR000004
CSSS00004,Technology Type,FTTC
SAS00005,Asset ID,SAS00005
SAS00005,Access Line ID,AL000005
SAS00005,Circuit ID,CIR000005
SAS00005,Technology Type,Copper
SAS00006,Asset ID,SAS00006
SAS00006,Access Line ID,AL000006
SAS00006,Circuit ID,CIR000006
SAS00006,Technology Type,FTTP
SAS00007,Asset ID,SAS00007
SAS00007,Access Line ID,AL000007
SAS00007,Circuit ID,CIR000007
SAS00007,Technology Type,FTTC
CSSS00008,Asset ID,SAS00008
CSSS00008,Access Line ID,AL000008
CSSS00008,Circuit ID,CIR000008
CSSS00008,Technology Type,FTTC
SAS00009,Asset ID,SAS00009
SAS00009,Access Line ID,AL000009
SAS00009,Circuit ID,CIR000009
SAS00009,Technology Type,FTTC
SAS00010,Asset ID,SAS00010
SAS00010,Access Line ID,AL000010
SAS00010,Circuit ID,CIR000010
SAS00010,Technology Type,Copper
SAS00011,Asset ID,SAS00011
SAS00011,Access Line ID,AL000011
SAS00011,Circuit ID,CIR000011
SAS00011,Technology Type,FTTP
SAS00012,Asset ID,SAS00012
SAS00012,Access Line ID,AL000012
SAS00012,Circuit ID,CIR000012
SAS00012,Technology Type,Copper
SAS00013,Asset ID,SAS00013
SAS00013,Access Line ID,AL000013
SAS00013,Circuit ID,CIR000013
SAS00013,Technology Type,FTTC
SAS00014,Asset ID,SAS00014
SAS00014,Access Line ID,AL000014
SAS00014,Circuit ID,CIR000014
SAS00014,Technology Type,Copper
SAS00015,Asset ID,SAS00015
SAS00015,Access Line ID,AL000015
SAS00015,Circuit ID,CIR000015
SAS00015,Technology Type,Copper
CSSS00016,Asset ID,SAS00016
CSSS00016,Access Line ID,AL000016
CSSS00016,Circuit ID,CIR000016
CSSS00016,Technology Type,Copper
SAS00017,Asset ID,SAS00017
SAS00017,Access Line ID,AL000017
SAS00017,Circuit ID,CIR000017
SAS00017,Technology Type,FTTP
SAS00018,Asset ID,SAS00018
SAS00018,Access Line ID,AL000018
SAS00018,Circuit ID,CIR000018
SAS00018,Technology Type,Copper
SAS00019,Asset ID,SAS00019
SAS00019,Access Line ID,AL000019
SAS00019,Circuit ID,CIR000019
SAS00019,Technology Type,Copper
SAS00020,Asset ID,SAS00020
SAS00020,Access Line ID,AL000020
SAS00020,Circuit ID,CIR000020
SAS00020,Technology Type,FTTC
SAS00021,Asset ID,SAS00021
SAS00021,Access Line ID,AL000021
SAS00021,Circuit ID,CIR000021
SAS00021,Technology Type,Copper
CSSS00022,Asset ID,SAS00022
CSSS00022,Access Line ID,AL000022
CSSS00022,Circuit ID,CIR000022
CSSS00022,Technology Type,FTTC
CSSS00023,Asset ID,SAS00023
CSSS00023,Access Line ID,AL000023
CSSS00023,Circuit ID,CIR000023
CSSS00023,Technology Type,FTTP
SAS00024,Asset ID,SAS00024
SAS00024,Access Line ID,AL000024
SAS00024,Circuit ID,CIR000024
SAS00024,Technology Type,Copper
SAS00025,Asset ID,SAS00025
SAS00025,Access Line ID,AL000025
SAS00025,Circuit ID,CIR000025
SAS00025,Technology Type,Copper
SAS00026,Asset ID,SAS00026
SAS00026,Access Line ID,AL000026
SAS00026,Circuit ID,CIR000026
SAS00026,Technology Type,FTTC
SAS00027,Asset ID,SAS00027
SAS00027,Access Line ID,AL000027
SAS00027,Circuit ID,CIR000027
SAS00027,Technology Type,FTTP
SAS00028,Asset ID,SAS00028
SAS00028,Access Line ID,AL000028
SAS00028,Circuit ID,CIR000028
SAS00028,Technology Type,Copper
SAS00029,Asset ID,SAS00029
SAS00029,Access Line ID,AL000029
SAS00029,Circuit ID,CIR000029
SAS00029,Technology Type,FTTC
CSSS00030,Asset ID,SAS00030
CSSS00030,Access Line ID,AL000030
CSSS00030,Circuit ID,CIR000030
CSSS00030,Technology Type,FTTC
CSSS00031,Asset ID,SAS00031
CSSS00031,Access Line ID,AL000031
CSSS00031,Circuit ID,CIR000031
CSSS00031,Technology Type,Copper
SAS00032,Asset ID,SAS00032
SAS00032,Access Line ID,AL000032
SAS00032,Circuit ID,CIR000032
SAS00032,Technology Type,Copper
SAS00033,Asset ID,SAS00033
SAS00033,Access Line ID,AL000033
SAS00033,Circuit ID,CIR000033
SAS00033,Technology Type,FTTC
SAS00034,Asset ID,SAS00034
SAS00034,Access Line ID,AL000034
SAS00034,Circuit ID,CIR000034
SAS00034,Technology Type,Copper
SAS00035,Asset ID,SAS00035
SAS00035,Access Line ID,AL000035
SAS00035,Circuit ID,CIR000035
SAS00035,Technology Type,FTTC
CSSS00036,Asset ID,SAS00036
CSSS00036,Access Line ID,AL000036
CSSS00036,Circuit ID,CIR000036
CSSS00036,Technology Type,Copper
CSSS00037,Asset ID,SAS00037
CSSS00037,Access Line ID,AL000037
CSSS00037,Circuit ID,CIR000037
CSSS00037,Technology Type,Copper
SAS00038,Asset ID,SAS00038
SAS00038,Access Line ID,AL000038
SAS00038,Circuit ID,CIR000038
SAS00038,Technology Type,Copper
SAS00039,Asset ID,SAS00039
SAS00039,Access Line ID,AL000039
SAS00039,Circuit ID,CIR000039
SAS00039,Technology Type,FTTC
SAS00040,Asset ID,SAS00040
SAS00040,Access Line ID,AL000040
SAS00040,Circuit ID,CIR000040
SAS00040,Technology Type,FTTP
SAS00041,Asset ID,SAS00041
SAS00041,Access Line ID,AL000041
SAS00041,Circuit ID,CIR000041
SAS00041,Technology Type,Copper
CSSS00042,Asset ID,SAS00042
CSSS00042,Access Line ID,AL000042
CSSS00042,Circuit ID,CIR000042
CSSS00042,Technology Type,FTTP
SAS00043,Asset ID,SAS00043
SAS00043,Access Line ID,AL000043
SAS00043,Circuit ID,CIR000043
SAS00043,Technology Type,FTTC
SAS00044,Asset ID,SAS00044
SAS00044,Access Line ID,AL000044
SAS00044,Circuit ID,CIR000044
SAS00044,Technology Type,FTTC
SAS00045,Asset ID,SAS00045
SAS00045,Access Line ID,AL000045
SAS00045,Circuit ID,CIR000045
SAS00045,Technology Type,Copper
CSSS00046,Asset ID,SAS00046
CSSS00046,Access Line ID,AL000046
CSSS00046,Circuit ID,CIR000046
CSSS00046,Technology Type,Copper
SAS00047,Asset ID,SAS00047
SAS00047,Access Line ID,AL000047
SAS00047,Circuit ID,CIR000047
SAS00047,Technology Type,Copper
SAS00048,Asset ID,SAS00048
SAS00048,Access Line ID,AL000048
SAS00048,Circuit ID,CIR000048
SAS00048,Technology Type,Copper
SAS00049,Asset ID,SAS00049
SAS00049,Access Line ID,AL000049
SAS00049,Circuit ID,CIR000049
SAS00049,Technology Type,Copper
SAS00050,Asset ID,SAS00050
SAS00050,Access Line ID,AL000050
SAS00050,Circuit ID,CIR000050
SAS00050,Technology Type,FTTP
SAS00051,Asset ID,SAS00051
SAS00051,Access Line ID,AL000051
SAS00051,Circuit ID,CIR000051
SAS00051,Technology Type,FTTP
CSSS00052,Asset ID,SAS00052
CSSS00052,Access Line ID,AL000052
CSSS00052,Circuit ID,CIR000052
CSSS00052,Technology Type,Copper
SAS00053,Asset ID,SAS00053
SAS00053,Access Line ID,AL000053
SAS00053,Circuit ID,CIR000053
SAS00053,Technology Type,FTTC
SAS00054,Asset ID,SAS00054
SAS00054,Access Line ID,AL000054
SAS00054,Circuit ID,CIR000054
SAS00054,Technology Type,FTTC
SAS00055,Asset ID,SAS00055
SAS00055,Access Line ID,AL000055
SAS00055,Circuit ID,CIR000055
SAS00055,Technology Type,FTTC
SAS00056,Asset ID,SAS00056
SAS00056,Access Line ID,AL000056
SAS00056,Circuit ID,CIR000056
SAS00056,Technology Type,FTTC
CSSS00057,Asset ID,SAS00057
CSSS00057,Access Line ID,AL000057
CSSS00057,Circuit ID,CIR000057
CSSS00057,Technology Type,FTTC
