css_service_id,css_customer_id,standard_product_code,css_product_code,css_product_name,product_family,service_status,activation_date
SAS00001,CSSC00216,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Inactive,2023-01-29
CSSS00002,CSSC00458,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-09-10
SAS00003,CSSC00421,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-07-17
CSSS00004,CSSC00651,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-01-21
SAS00005,CSSC00679,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-07-14
SAS00006,CSSC00444,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2023-05-03
SAS00007,CSSC00209,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Ceased,2023-10-16
CSSS00008,CSSC00788,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Inactive,2025-12-20
SAS00009,CSSC00311,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-07-18
SAS00010,CSSC00277,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-10-01
SAS00011,CSSC00498,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Pending,2025-11-09
SAS00012,CSSC00275,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-07-22
SAS00013,CSSC00819,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-05-09
SAS00014,CSSC00248,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-05-15
SAS00015,CSSC00570,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-12-21
CSSS00016,CSSC00542,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Pending,2024-11-01
SAS00017,CSSC00430,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2024-02-01
SAS00018,CSSC00739,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-07-10
SAS00019,CSSC00686,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-12-31
SAS00020,CSSC00201,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-11-19
SAS00021,CSSC00546,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-02-03
CSSS00022,CSSC00918,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-03-31
CSSS00023,CSSC00757,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-06-22
SAS00024,CSSC00220,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-06-09
SAS00025,CSSC00124,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-07-10
SAS00026,CSSC00946,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-05-27
SAS00027,CSSC00645,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-09-01
SAS00028,CSSC00674,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-09-29
SAS00029,CSSC00422,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-10-28
CSSS00030,CSSC00285,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2024-12-31
CSSS00031,CSSC00169,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2023-02-13
SAS00032,CSSC00843,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-01-03
SAS00033,CSSC00136,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2025-07-09
SAS00034,CSSC00121,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-01-20
SAS00035,CSSC00307,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Active,2023-05-10
CSSS00036,CSSC00388,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2025-12-27
CSSS00037,CSSC00431,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-03-09
SAS00038,CSSC00446,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Inactive,2024-06-29
SAS00039,CSSC00906,STD_BB_FTTC,CSS_BB_FTTC,CSS Broadband FTTC,Broadband,Ceased,2024-11-06
SAS00040,CSSC00609,STD_BB_FTTP,CSS_BB_FTTP,CSS Broadband FTTP,Broadband,Active,2025-07-08
SAS00041,CSSC00814,STD_PSTN_LINE,CSS_PSTN_LINE,CSS PSTN Line,Voice,Active,2024-03-14
