account_id,customer_name,account_status,segment
SA00001,Customer 00001,Active,Consumer
SA00002,Customer 00002,Active,Consumer
SA00003,Customer 00003,Active,Enterprise
SA00004,Customer 00004,Active,Enterprise
SA00005,Customer 00005,Active,Consumer
SA00006,Customer 00006,Active,Consumer
SA00007,Customer 00007,Active,Consumer
SA00008,Customer 00008,Active,Enterprise
SA00009,Customer 00009,Active,Consumer
SA00010,Customer 00010,Active,Enterprise
SA00011,Customer 00011,Active,Consumer
SA00012,Customer 00012,Active,SME
SA00013,Customer 00013,Active,Consumer
SA00014,Customer 00014,Active,Consumer
SA00015,Customer 00015,Active,SME
SA00016,Customer 00016,Active,Consumer
SA00017,Customer 00017,Inactive,SME
SA00018,Customer 00018,Active,SME
SA00019,Customer 00019,Active,SME
SA00020,Customer 00020,Active,Consumer
SA00021,Customer 00021,Active,Enterprise
SA00022,Customer 00022,Active,SME
SA00023,Customer 00023,Active,SME
SA00024,Customer 00024,Active,Enterprise
SA00025,Customer 00025,Active,SME
SA00026,Customer 00026,Active,Enterprise
SA00027,Customer 00027,Active,Enterprise
SA00028,Customer 00028,Active,SME
SA00029,Customer 00029,Inactive,Consumer
SA00030,Customer 00030,Active,SME
SA00031,Customer 00031,Active,Enterprise
SA00032,Customer 00032,Active,Consumer
SA00033,Customer 00033,Active,Consumer
SA00034,Customer 00034,Active,Enterprise
SA00035,Customer 00035,Inactive,Enterprise
SA00036,Customer 00036,Active,Enterprise
SA00037,Customer 00037,Active,Enterprise
SA00038,Customer 00038,Active,SME
SA00039,Customer 00039,Active,Enterprise
SA00040,Customer 00040,Active,Consumer
SA00041,Customer 00041,Active,Consumer
SA00042,Customer 00042,Active,Consumer
SA00043,Customer 00043,Active,SME
SA00044,Customer 00044,Active,Consumer
SA00045,Customer 00045,Inactive,Enterprise
SA00046,Customer 00046,Active,SME
SA00047,Customer 00047,Active,SME
SA00048,Customer 00048,Active,Enterprise
SA00049,Customer 00049,Active,SME
SA00050,Customer 00050,Active,Enterprise
SA00051,Customer 00051,Active,SME
SA00052,Customer 00052,Active,SME
SA00053,Customer 00053,Active,SME
SA00054,Customer 00054,Active,Consumer
SA00055,Customer 00055,Active,Consumer
SA00056,Customer 00056,Active,Consumer
SA00057,Customer 00057,Active,Consumer
SA00058,Customer 00058,Active,SME
SA00059,Customer 00059,Active,SME
SA00060,Customer 00060,Active,SME
SA00061,Customer 00061,Active,Enterprise
SA00062,Customer 00062,Active,Consumer
SA00063,Customer 00063,Active,Consumer
SA00064,Customer 00064,Active,Enterprise
SA00065,Customer 00065,Active,Enterprise
SA00066,Customer 00066,Active,SME
SA00067,Customer 00067,Active,SME
SA00068,Customer 00068,Active,Enterprise
SA00069,Customer 00069,Active,SME
SA00070,Customer 00070,Inactive,Consumer
SA00071,Customer 00071,Active,Consumer
SA00072,Customer 00072,Active,SME
SA00073,Customer 00073,Active,Enterprise
SA00074,Customer 00074,Active,Consumer
SA00075,Customer 00075,Active,Consumer
SA00076,Customer 00076,Active,Enterprise
SA00077,Customer 00077,Inactive,Enterprise
SA00078,Customer 00078,Active,Consumer
SA00079,Customer 00079,Active,SME
SA00080,Customer 00080,Active,SME
SA00081,Customer 00081,Active,Consumer
SA00082,Customer 00082,Active,Consumer
SA00083,Customer 00083,Active,SME
SA00084,Customer 00084,Active,Enterprise
SA00085,Customer 00085,Active,Consumer
SA00086,Customer 00086,Active,Enterprise
SA00087,Customer 00087,Active,Enterprise
SA00088,Customer 00088,Active,SME
SA00089,Customer 00089,Inactive,Enterprise
SA00090,Customer 00090,Active,Enterprise
SA00091,Customer 00091,Active,SME
SA00092,Customer 00092,Active,Enterprise
SA00093,Customer 00093,Active,SME
SA00094,Customer 00094,Active,SME
SA00095,Customer 00095,Active,Consumer
SA00096,Customer 00096,Active,Consumer
SA00097,Customer 00097,Active,Consumer
SA00098,Customer 00098,Active,Consumer
SA00099,Customer 00099,Active,Enterprise
SA00100,Customer 00100,Active,Consumer
SA00101,Customer 00101,Inactive,SME
SA00102,Customer 00102,Active,Consumer
SA00103,Customer 00103,Active,SME
SA00104,Customer 00104,Active,Consumer
SA00105,Customer 00105,Active,Enterprise
SA00106,Customer 00106,Active,Consumer
SA00107,Customer 00107,Active,SME
SA00108,Customer 00108,Active,Consumer
SA00109,Customer 00109,Active,SME
SA00110,Customer 00110,Active,SME
SA00111,Customer 00111,Active,Consumer
SA00112,Customer 00112,Active,Enterprise
SA00113,Customer 00113,Active,SME
SA00114,Customer 00114,Active,Consumer
SA00115,Customer 00115,Active,Consumer
SA00116,Customer 00116,Active,Consumer
SA00117,Customer 00117,Active,SME
SA00118,Customer 00118,Active,Consumer
SA00119,Customer 00119,Active,Enterprise
SA00120,Customer 00120,Active,Enterprise
SA00121,Customer 00121,Inactive,Consumer
SA00122,Customer 00122,Inactive,Consumer
SA00123,Customer 00123,Active,SME
SA00124,Customer 00124,Active,SME
SA00125,Customer 00125,Inactive,Consumer
SA00126,Customer 00126,Active,SME
SA00127,Customer 00127,Active,SME
SA00128,Customer 00128,Active,Enterprise
SA00129,Customer 00129,Inactive,Enterprise
SA00130,Customer 00130,Active,SME
SA00131,Customer 00131,Active,SME
SA00132,Customer 00132,Active,Consumer
SA00133,Customer 00133,Active,Enterprise
SA00134,Customer 00134,Active,SME
SA00135,Customer 00135,Active,Enterprise
SA00136,Customer 00136,Active,Enterprise
SA00137,Customer 00137,Active,Enterprise
SA00138,Customer 00138,Active,Consumer
SA00139,Customer 00139,Active,Consumer
SA00140,Customer 00140,Active,Consumer
SA00141,Customer 00141,Active,Enterprise
SA00142,Customer 00142,Active,Enterprise
SA00143,Customer 00143,Active,Consumer
SA00144,Customer 00144,Active,Enterprise
SA00145,Customer 00145,Active,SME
SA00146,Customer 00146,Inactive,Consumer
SA00147,Customer 00147,Active,SME
SA00148,Customer 00148,Active,SME
SA00149,Customer 00149,Active,Enterprise
SA00150,Customer 00150,Active,SME
SA00151,Customer 00151,Inactive,Consumer
SA00152,Customer 00152,Active,Enterprise
SA00153,Customer 00153,Inactive,Consumer
SA00154,Customer 00154,Active,Consumer
SA00155,Customer 00155,Active,Consumer
SA00156,Customer 00156,Inactive,Consumer
SA00157,Customer 00157,Active,SME
SA00158,Customer 00158,Active,SME
SA00159,Customer 00159,Active,Enterprise
SA00160,Customer 00160,Active,Enterprise
SA00161,Customer 00161,Active,Enterprise
SA00162,Customer 00162,Active,SME
SA00163,Customer 00163,Inactive,Consumer
SA00164,Customer 00164,Inactive,Consumer
SA00165,Customer 00165,Active,Consumer
SA00166,Customer 00166,Active,Consumer
SA00167,Customer 00167,Active,Enterprise
SA00168,Customer 00168,Active,SME
SA00169,Customer 00169,Active,Enterprise
SA00170,Customer 00170,Active,Enterprise
SA00171,Customer 00171,Active,Consumer
SA00172,Customer 00172,Active,SME
SA00173,Customer 00173,Active,Consumer
SA00174,Customer 00174,Active,Consumer
SA00175,Customer 00175,Active,SME
SA00176,Customer 00176,Active,SME
SA00177,Customer 00177,Active,SME
SA00178,Customer 00178,Active,Consumer
SA00179,Customer 00179,Active,Enterprise
SA00180,Customer 00180,Inactive,Enterprise
SA00181,Customer 00181,Active,SME
SA00182,Customer 00182,Active,Consumer
SA00183,Customer 00183,Active,Consumer
SA00184,Customer 00184,Active,Consumer
SA00185,Customer 00185,Active,Consumer
SA00186,Customer 00186,Active,Enterprise
SA00187,Customer 00187,Active,Enterprise
SA00188,Customer 00188,Active,SME
SA00189,Customer 00189,Inactive,Enterprise
SA00190,Customer 00190,Active,Consumer
SA00191,Customer 00191,Active,Consumer
SA00192,Customer 00192,Active,Consumer
SA00193,Customer 00193,Active,SME
SA00194,Customer 00194,Active,SME
SA00195,Customer 00195,Active,Enterprise
SA00196,Customer 00196,Active,SME
SA00197,Customer 00197,Active,Enterprise
SA00198,Customer 00198,Active,Consumer
SA00199,Customer 00199,Active,Consumer
SA00200,Customer 00200,Active,SME
SA00201,Customer 00201,Active,Consumer
SA00202,Customer 00202,Active,Enterprise
SA00203,Customer 00203,Active,SME
SA00204,Customer 00204,Active,Consumer
SA00205,Customer 00205,Inactive,SME
SA00206,Customer 00206,Active,Enterprise
SA00207,Customer 00207,Active,Enterprise
SA00208,Customer 00208,Active,Consumer
SA00209,Customer 00209,Active,SME
SA00210,Customer 00210,Active,SME
SA00211,Customer 00211,Active,Enterprise
SA00212,Customer 00212,Active,Enterprise
SA00213,Customer 00213,Active,SME
SA00214,Customer 00214,Active,Enterprise
SA00215,Customer 00215,Active,Enterprise
SA00216,Customer 00216,Active,Consumer
SA00217,Customer 00217,Active,Consumer
SA00218,Customer 00218,Active,Enterprise
SA00219,Customer 00219,Active,Enterprise
SA00220,Customer 00220,Active,Consumer
SA00221,Customer 00221,Active,Consumer
SA00222,Customer 00222,Inactive,SME
SA00223,Customer 00223,Active,Enterprise
SA00224,Customer 00224,Active,Enterprise
SA00225,Customer 00225,Inactive,Enterprise
SA00226,Customer 00226,Active,SME
SA00227,Customer 00227,Active,Enterprise
SA00228,Customer 00228,Active,Consumer
SA00229,Customer 00229,Active,Enterprise
SA00230,Customer 00230,Inactive,Enterprise
SA00231,Customer 00231,Active,Consumer
SA00232,Customer 00232,Active,SME
SA00233,Customer 00233,Active,Consumer
SA00234,Customer 00234,Active,Consumer
SA00235,Customer 00235,Active,Enterprise
SA00236,Customer 00236,Active,SME
SA00237,Customer 00237,Active,SME
SA00238,Customer 00238,Active,Enterprise
SA00239,Customer 00239,Active,Enterprise
SA00240,Customer 00240,Active,Consumer
SA00241,Customer 00241,Active,Enterprise
SA00242,Customer 00242,Active,SME
SA00243,Customer 00243,Active,Consumer
SA00244,Customer 00244,Active,Consumer
SA00245,Customer 00245,Active,Consumer
SA00246,Customer 00246,Active,Consumer
SA00247,Customer 00247,Inactive,Enterprise
SA00248,Customer 00248,Active,Consumer
SA00249,Customer 00249,Active,Enterprise
SA00250,Customer 00250,Active,Enterprise
SA00251,Customer 00251,Active,SME
SA00252,Customer 00252,Active,Consumer
SA00253,Customer 00253,Active,Consumer
SA00254,Customer 00254,Active,Consumer
SA00255,Customer 00255,Active,Consumer
SA00256,Customer 00256,Active,Enterprise
SA00257,Customer 00257,Active,Consumer
SA00258,Customer 00258,Active,Consumer
SA00259,Customer 00259,Active,SME
SA00260,Customer 00260,Active,Enterprise
SA00261,Customer 00261,Active,SME
SA00262,Customer 00262,Active,Enterprise
SA00263,Customer 00263,Active,SME
SA00264,Customer 00264,Active,Enterprise
SA00265,Customer 00265,Active,Consumer
