asset_id,attribute_name,attribute_value
SAS00001,Access Line ID,AL000001
SAS00001,Circuit ID,CIR000001
SAS00001,Postcode,MK4 7AA
SAS00001,Technology Type,FTTP
SAS00002,Access Line ID,AL000002
SAS00002,Circuit ID,CIR000002
SAS00002,Postcode,MK12 1AA
SAS00002,Technology Type,FTTP
SAS00003,Access Line ID,AL000003
SAS00003,Circuit ID,CIR000003
SAS00003,Postcode,MK12 9AA
SAS00003,Technology Type,FTTC
SAS00004,Access Line ID,AL000004
SAS00004,Circuit ID,CIR000004
SAS00004,Postcode,MK18 5AA
SAS00004,Technology Type,FTTC
SAS00005,Access Line ID,AL000005
SAS00005,Circuit ID,CIR000005
SAS00005,Postcode,MK5 2AA
SAS00005,Technology Type,Copper
SAS00006,Access Line ID,AL000006
SAS00006,Circuit ID,CIR000006
SAS00006,Postcode,MK18 6AA
SAS00006,Technology Type,FTTP
SAS00007,Access Line ID,AL000007
SAS00007,Circuit ID,CIR000007
SAS00007,Postcode,MK13 9AA
SAS00007,Technology Type,FTTC
SAS00008,Access Line ID,AL000008
SAS00008,Circuit ID,CIR000008
SAS00008,Postcode,MK16 9AA
SAS00008,Technology Type,FTTC
SAS00009,Access Line ID,AL000009
SAS00009,Circuit ID,CIR000009
SAS00009,Postcode,MK5 6AA
SAS00009,Technology Type,FTTC
SAS00010,Access Line ID,AL000010
SAS00010,Circuit ID,CIR000010
SAS00010,Postcode,MK20 5AA
SAS00010,Technology Type,Copper
SAS00011,Access Line ID,AL000011
SAS00011,Circuit ID,CIR000011
SAS00011,Postcode,MK18 8AA
SAS00011,Technology Type,FTTP
SAS00012,Access Line ID,AL000012
SAS00012,Circuit ID,CIR000012
SAS00012,Postcode,MK12 6AA
SAS00012,Technology Type,Copper
SAS00013,Access Line ID,AL000013
SAS00013,Circuit ID,CIR000013
SAS00013,Postcode,MK1 8AA
SAS00013,Technology Type,FTTC
SAS00014,Access Line ID,AL000014
SAS00014,Circuit ID,CIR000014
SAS00014,Postcode,MK2 8AA
SAS00014,Technology Type,Copper
SAS00015,Access Line ID,AL000015
SAS00015,Circuit ID,CIR000015
SAS00015,Postcode,MK5 4AA
SAS00015,Technology Type,Copper
SAS00016,Access Line ID,AL000016
SAS00016,Circuit ID,CIR000016
SAS00016,Postcode,MK7 1AA
SAS00016,Technology Type,Copper
SAS00017,Access Line ID,AL000017
SAS00017,Circuit ID,CIR000017
SAS00017,Postcode,MK7 7AA
SAS00017,Technology Type,FTTP
SAS00018,Access Line ID,AL000018
SAS00018,Circuit ID,CIR000018
SAS00018,Postcode,MK5 9AA
SAS00018,Technology Type,Copper
SAS00019,Access Line ID,AL000019
SAS00019,Circuit ID,CIR000019
SAS00019,Postcode,MK17 7AA
SAS00019,Technology Type,Copper
SAS00020,Access Line ID,AL000020
SAS00020,Circuit ID,CIR000020
SAS00020,Postcode,MK11 9AA
SAS00020,Technology Type,FTTC
SAS00021,Access Line ID,AL000021
SAS00021,Circuit ID,CIR000021
SAS00021,Postcode,MK20 8AA
SAS00021,Technology Type,Copper
SAS00022,Access Line ID,AL000022
SAS00022,Circuit ID,CIR000022
SAS00022,Postcode,MK8 5AA
SAS00022,Technology Type,FTTC
SAS00023,Access Line ID,AL000023
SAS00023,Circuit ID,CIR000023
SAS00023,Postcode,MK11 8AA
SAS00023,Technology Type,FTTP
SAS00024,Access Line ID,AL000024
SAS00024,Circuit ID,CIR000024
SAS00024,Postcode,MK10 2AA
SAS00024,Technology Type,Copper
SAS00025,Access Line ID,AL000025
SAS00025,Circuit ID,CIR000025
SAS00025,Postcode,MK12 3AA
SAS00025,Technology Type,Copper
SAS00026,Access Line ID,AL000026
SAS00026,Circuit ID,CIR000026
SAS00026,Postcode,MK12 8AA
SAS00026,Technology Type,FTTC
SAS00027,Access Line ID,AL000027
SAS00027,Circuit ID,CIR000027
SAS00027,Postcode,MK7 9AA
SAS00027,Technology Type,FTTP
SAS00028,Access Line ID,AL000028
SAS00028,Circuit ID,CIR000028
SAS00028,Postcode,MK4 4AA
SAS00028,Technology Type,Copper
SAS00029,Access Line ID,AL000029
SAS00029,Circuit ID,CIR000029
SAS00029,Postcode,MK8 4AA
SAS00029,Technology Type,FTTC
SAS00030,Access Line ID,AL000030
SAS00030,Circuit ID,CIR000030
SAS00030,Postcode,MK4 3AA
SAS00030,Technology Type,FTTC
SAS00031,Access Line ID,AL000031
SAS00031,Circuit ID,CIR000031
SAS00031,Postcode,MK14 8AA
SAS00031,Technology Type,Copper
SAS00032,Access Line ID,AL000032
SAS00032,Circuit ID,CIR000032
SAS00032,Postcode,MK11 5AA
SAS00032,Technology Type,Copper
SAS00033,Access Line ID,AL000033
SAS00033,Circuit ID,CIR000033
SAS00033,Postcode,MK19 4AA
SAS00033,Technology Type,FTTC
SAS00034,Access Line ID,AL000034
SAS00034,Circuit ID,CIR000034
SAS00034,Postcode,MK6 7AA
SAS00034,Technology Type,Copper
SAS00035,Access Line ID,AL000035
SAS00035,Circuit ID,CIR000035
SAS00035,Postcode,MK13 8AA
SAS00035,Technology Type,FTTC
SAS00036,Access Line ID,AL000036
SAS00036,Circuit ID,CIR000036
SAS00036,Postcode,MK2 1AA
SAS00036,Technology Type,Copper
SAS00037,Access Line ID,AL000037
SAS00037,Circuit ID,CIR000037
SAS00037,Postcode,MK10 8AA
SAS00037,Technology Type,Copper
SAS00038,Access Line ID,AL000038
SAS00038,Circuit ID,CIR000038
SAS00038,Postcode,MK17 8AA
SAS00038,Technology Type,Copper
SAS00039,Access Line ID,AL000039
SAS00039,Circuit ID,CIR000039
SAS00039,Postcode,MK6 8AA
SAS00039,Technology Type,FTTC
SAS00040,Access Line ID,AL000040
SAS00040,Circuit ID,CIR000040
SAS00040,Postcode,MK11 5AA
SAS00040,Technology Type,FTTP
SAS00041,Access Line ID,AL000041
SAS00041,Circuit ID,CIR000041
SAS00041,Postcode,MK20 7AA
SAS00041,Technology Type,Copper
SAS00042,Access Line ID,AL000042
