asset_id,account_id,standard_product_code,product_code,product_name,product_family,service_status,install_date
SAS00001,SA00689,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-01-17
SAS00002,SA00138,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-04-05
SAS00003,SA00411,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-02-03
SAS00004,SA00296,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-07-11
SAS00005,SA00846,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-09-01
SAS00006,SA00404,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-11-25
SAS00007,SA00774,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-11-08
SAS00008,SA00042,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-11-13
SAS00009,SA00468,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-11-21
SAS00010,SA00954,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-03-15
SAS00011,SA00608,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-11-09
SAS00012,SA00726,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-02-04
SAS00013,SA00690,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Pending,2024-09-22
SAS00014,SA00272,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-04-11
SAS00015,SA00175,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-02-17
SAS00016,SA00033,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Ceased,2023-08-14
SAS00017,SA00452,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-04-25
SAS00018,SA00514,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Ceased,2023-05-08
SAS00019,SA00213,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-09-06
SAS00020,SA00322,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-12-27
SAS00021,SA00363,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-06-25
SAS00022,SA00197,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-09-03
SAS00023,SA00790,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-09-28
SAS00024,SA00358,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Ceased,2024-07-14
SAS00025,SA00588,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-03-19
SAS00026,SA00298,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2023-06-11
SAS00027,SA00672,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-03-14
SAS00028,SA00278,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-10-09
SAS00029,SA00249,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-12-23
SAS00030,SA00054,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-08-25
SAS00031,SA00006,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Pending,2023-11-20
SAS00032,SA00489,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-08-11
SAS00033,SA00662,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Ceased,2023-07-03
SAS00034,SA00548,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-03-18
SAS00035,SA00904,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Ceased,2023-03-16
SAS00036,SA00191,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Pending,2024-08-15
SAS00037,SA00306,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-11-17
SAS00038,SA00657,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-10-02
SAS00039,SA00280,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-11-08
SAS00040,SA00664,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-01-29
SAS00041,SA00582,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-12-26
SAS00042,SA00847,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-06-27
SAS00043,SA00190,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-05-23
SAS00044,SA00393,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-06-30
SAS00045,SA00597,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-06-19
SAS00046,SA00064,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-09-20
SAS00047,SA00703,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Ceased,2024-09-28
SAS00048,SA00377,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-10-01
SAS00049,SA00466,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Pending,2025-02-04
SAS00050,SA00935,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-03-23
SAS00051,SA00539,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-01-10
SAS00052,SA00064,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Ceased,2024-02-19
SAS00053,SA00154,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-12-01
SAS00054,SA00697,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-09-28
SAS00055,SA00457,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-11-17
SAS00056,SA00578,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-09-23
SAS00057,SA00261,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2023-05-30
SAS00058,SA00353,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-05-04
SAS00059,SA00033,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-10-05
SAS00060,SA00913,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-02-12
SAS00061,SA00700,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Inactive,2023-09-30
SAS00062,SA00183,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-09-18
SAS00063,SA00775,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Pending,2025-08-06
SAS00064,SA00545,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Inactive,2024-05-21
SAS00065,SA00159,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-08-20
SAS00066,SA00630,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2023-05-18
SAS00067,SA00458,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-04-10
SAS00068,SA00412,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-03-20
SAS00069,SA00516,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-10-15
SAS00070,SA00243,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Inactive,2025-12-03
SAS00071,SA00308,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-12-25
SAS00072,SA00508,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Pending,2025-02-19
SAS00073,SA00714,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-09-06
SAS00074,SA00773,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-04-06
SAS00075,SA00826,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Ceased,2025-04-25
SAS00076,SA00543,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-06-06
SAS00077,SA00663,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Ceased,2025-01-29
SAS00078,SA00742,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-02-11
SAS00079,SA00895,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-03-20
SAS00080,SA00891,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-02-01
SAS00081,SA00986,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-09-07
SAS00082,SA00407,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-08-02
SAS00083,SA00547,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-06-19
SAS00084,SA00904,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-08-19
SAS00085,SA00380,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-03-29
SAS00086,SA00268,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Ceased,2025-05-05
SAS00087,SA00201,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-05-18
SAS00088,SA00671,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-09-27
SAS00089,SA00173,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-12-13
SAS00090,SA00501,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Ceased,2023-05-01
SAS00091,SA00860,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Ceased,2023-04-10
SAS00092,SA00141,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-11-06
SAS00093,SA00518,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-09-16
SAS00094,SA00007,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-01-25
SAS00095,SA00740,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-08-10
SAS00096,SA00833,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2024-01-03
SAS00097,SA00537,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-12-14
SAS00098,SA00274,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-04-11
SAS00099,SA00714,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2023-06-15
SAS00100,SA00416,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-09-01
SAS00101,SA00720,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-06-07
SAS00102,SA00917,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Ceased,2024-04-15
SAS00103,SA00278,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Ceased,2024-07-28
SAS00104,SA00184,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-02-29
SAS00105,SA00771,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Inactive,2023-06-07
SAS00106,SA00578,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-03-07
SAS00107,SA00394,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-06-10
SAS00108,SA00055,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2023-06-05
SAS00109,SA00993,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-07-13
SAS00110,SA00234,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-02-07
SAS00111,SA00697,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-06-25
SAS00112,SA00818,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2023-06-18
SAS00113,SA00390,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2023-11-12
SAS00114,SA00370,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2024-09-23
SAS00115,SA00780,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-06-28
SAS00116,SA00460,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-04-15
SAS00117,SA00092,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2024-10-26
SAS00118,SA00299,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-06-23
SAS00119,SA00586,STD_PSTN_LINE,SPSTN_LINE,Siebel PSTN Line,Voice,Active,2025-02-18
SAS00120,SA00276,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2023-10-26
SAS00121,SA00446,STD_BB_FTTP,SBB_FTTP,Siebel Broadband FTTP,Broadband,Active,2025-09-18
SAS00122,SA00258,STD_BB_FTTC,SBB_FTTC,Siebel Broadband FTTC,Broadband,Active,2025-10-12
